,zip_code,latitude,longitude,city,state,county,digit
12543,29446,32.656442999999996,-80.56610500000001,Green Pond,SC,Colleton,2
12544,29447,33.086324,-80.62279000000001,Grover,SC,Dorchester,2
12545,29448,33.239304,-80.453386,Harleyville,SC,Dorchester,2
12546,29449,32.710485999999996,-80.27443000000001,Hollywood,SC,Charleston,2
12547,29450,33.043929,-79.784137,Huger,SC,Berkeley,2
12548,29451,32.807206,-79.76051600000001,Isle Of Palms,SC,Charleston,2
12549,29452,32.730451,-80.46093499999999,Jacksonboro,SC,Colleton,2
12550,29453,33.183389,-79.71499200000001,Jamestown,SC,Berkeley,2
12551,29455,32.835713,-79.821702,Johns Island,SC,Charleston,2
12552,29456,33.01317,-80.107174,Ladson,SC,Berkeley,2
12553,29457,32.84885,-79.85773,Johns Island,SC,Charleston,2
12554,29458,33.119382,-79.507388,Mc Clellanville,SC,Charleston,2
12555,29461,33.197117999999996,-80.023339,Moncks Corner,SC,Berkeley,2
12556,29464,32.847273,-79.820563,Mount Pleasant,SC,Charleston,2
12557,29465,32.84885,-79.85773,Mount Pleasant,SC,Charleston,2
12558,29466,32.867373,-79.804893,Mount Pleasant,SC,Charleston,2
12559,29468,33.411753000000004,-80.07119399999999,Pineville,SC,Berkeley,2
12560,29469,33.245244,-80.098656,Pinopolis,SC,Berkeley,2
12561,29470,32.787774,-80.224756,Ravenel,SC,Charleston,2
12562,29471,33.172596,-80.66065400000001,Reevesville,SC,Dorchester,2
12563,29472,33.032573,-80.37462,Ridgeville,SC,Dorchester,2
12564,29474,32.846691,-80.595162,Round O,SC,Colleton,2
12565,29475,32.899004,-80.81942099999999,Ruffin,SC,Colleton,2
12566,29476,33.164201,-79.90418199999999,Russellville,SC,Berkeley,2
12567,29477,33.151503000000005,-80.478782,Saint George,SC,Dorchester,2
12568,29479,33.33618,-79.92364,Saint Stephen,SC,Berkeley,2
12569,29481,33.098059,-80.68246500000001,Smoaks,SC,Colleton,2
12570,29482,32.766335999999995,-79.83951,Sullivans Island,SC,Charleston,2
12571,29483,33.040201,-80.431751,Summerville,SC,Dorchester,2
12572,29484,33.002340000000004,-80.226694,Summerville,SC,Dorchester,2
12573,29485,32.999726,-80.329328,Summerville,SC,Dorchester,2
12574,29487,32.659087,-80.167357,Wadmalaw Island,SC,Charleston,2
12575,29488,32.925196,-80.703213,Walterboro,SC,Colleton,2
12576,29492,32.96678,-79.852835,Charleston,SC,Berkeley,2
12577,29493,33.032703999999995,-80.84451999999999,Williams,SC,Colleton,2
12578,29501,34.049849,-79.685361,Florence,SC,Florence,2
12579,29502,34.200994,-79.78472099999999,Florence,SC,Florence,2
12580,29503,34.062999,-79.650627,Florence,SC,Florence,2
12581,29504,34.041582,-79.693294,Florence,SC,Florence,2
12582,29505,34.049881,-79.693907,Florence,SC,Florence,2
12583,29506,34.061465000000005,-79.622227,Florence,SC,Florence,2
12584,29510,33.435562,-79.409083,Andrews,SC,Georgetown,2
12585,29511,33.939968,-79.041027,Aynor,SC,Horry,2
12586,29512,34.598755,-79.707693,Bennettsville,SC,Marlboro,2
12587,29516,34.517148999999996,-79.644187,Blenheim,SC,Marlboro,2
12588,29518,33.598355,-79.709369,Cades,SC,Williamsburg,2
12589,29519,34.026958,-79.35371500000001,Centenary,SC,Marion,2
12590,29520,34.691548,-79.943741,Cheraw,SC,Chesterfield,2
12591,29525,34.584251,-79.587852,Clio,SC,Marlboro,2
12592,29526,33.868775,-78.948287,Conway,SC,Horry,2
12593,29527,33.82352,-79.02233100000001,Conway,SC,Horry,2
12594,29528,33.935814,-78.919205,Conway,SC,Horry,2
12595,29530,33.980551,-79.756816,Coward,SC,Florence,2
12596,29532,34.317738,-79.931655,Darlington,SC,Darlington,2
12597,29536,34.422187,-79.341359,Dillon,SC,Dillon,2
12598,29540,34.384260999999995,-79.842182,Darlington,SC,Darlington,2
12599,29541,34.063272,-79.733541,Effingham,SC,Florence,2
12600,29542,34.425629,-79.35229100000001,Floyd Dale,SC,Dillon,2
12601,29543,34.375384000000004,-79.27652900000001,Fork,SC,Dillon,2
12602,29544,33.953007,-78.994502,Galivants Ferry,SC,Horry,2
12603,29545,34.166757000000004,-78.958922,Green Sea,SC,Horry,2
12604,29546,33.952411,-79.36041800000001,Gresham,SC,Marion,2
12605,29547,34.484912,-79.350207,Hamer,SC,Dillon,2
12606,29550,34.345106,-80.073953,Hartsville,SC,Darlington,2
12607,29551,34.365898,-80.132418,Hartsville,SC,Darlington,2
12608,29554,33.732071000000005,-79.430945,Hemingway,SC,Williamsburg,2
12609,29555,33.886864,-79.489745,Johnsonville,SC,Florence,2
